,Country_Name,Life_Expectancy,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,region,happiness_rank,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
183,Morocco,75.97400000,2016,4.199170840,8.390437218,8.333333333,4.429259259,5.000000000,7.297619048,3.333333333,5.986756512,5.930876255,5.401407689,7.216671133,6.931294938,6.350932975,6.37,6.178378256,Middle East and Northern Africa,90,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891
184,Moldova,71.61700000,2016,4.451422898,8.685224302,8.333333333,6.046296296,6.000000000,7.369047619,10.000000000,7.059029525,6.499386736,4.337326557,7.983371320,7.458865245,6.905421487,6.64,6.849514762,Central and Eastern Europe,55,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007
185,Madagascar,65.93100000,2016,3.613214977,8.201458953,10.000000000,7.540740741,5.500000000,8.273809524,7.500000000,6.835123509,7.701839237,2.789804983,7.895528282,6.704622081,5.834452003,6.19,6.512561755,Sub-Saharan Africa,148,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.22040,2.15075
186,Mexico,74.91700000,2016,3.922635286,6.041886151,10.000000000,7.568888889,8.500000000,6.980011483,10.000000000,6.796020397,7.915761741,4.127169241,8.106594619,7.259592913,7.109701358,6.90,6.848010198,Latin America and Caribbean,21,6.778,1.11508,0.71460,0.71143,0.37709,0.18355,0.11735,3.55906
187,Mali,57.98700000,2016,3.930245651,5.391779112,8.333333333,8.601851852,7.500000000,7.869047619,5.000000000,6.060929471,4.943583748,3.458599238,7.204218900,6.874991085,6.531318665,5.80,5.930464736,Sub-Saharan Africa,135,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087
188,Malta,82.45365854,2016,6.880670013,9.875277508,10.000000000,8.449629630,10.000000000,9.440476190,10.000000000,8.977997462,5.917352957,6.649582710,9.481213334,8.421271575,8.167028374,7.73,8.353998731,Western Europe,30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032
189,Myanmar,66.20500000,2016,2.976381536,8.103918555,1.666666667,6.346296296,7.000000000,7.544895499,4.375000000,5.463360869,6.297058824,3.545876002,6.480574507,4.967560927,5.807434505,5.42,5.441680434,Southeastern Asia,119,4.395,0.34112,0.69981,0.39880,0.42692,0.20243,0.81971,1.50655
190,Mongolia,69.32100000,2016,5.251542395,8.912543798,10.000000000,8.584814815,8.500000000,8.238095238,9.250000000,7.998312553,7.999648709,5.554938942,9.387787240,6.780282764,7.258296500,7.40,7.699156277,Eastern Asia,101,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586
191,Mauritania,64.20800000,2016,3.933860560,5.818886343,8.333333333,5.661111111,5.500000000,6.001186054,0E-9,4.987749776,5.329411765,3.723808830,8.099707313,5.939447829,6.712624203,5.96,5.473874888,Sub-Saharan Africa,130,4.201,0.61391,0.84142,0.28639,0.12680,0.17955,0.22686,1.92630
192,Mauritius,74.39487805,2016,6.446820269,9.201518449,6.666666667,8.030000000,9.000000000,9.357142857,5.000000000,7.717465632,7.510213253,6.764334254,9.587632401,8.425298409,7.747574312,8.01,7.863732816,Sub-Saharan Africa,66,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223
193,Malaysia,75.64900000,2016,5.421524050,8.599348146,5.000000000,3.930000000,4.000000000,6.797619048,4.250000000,5.902979954,6.862838070,5.760370476,5.792303901,7.537110669,8.622790943,6.92,6.411489977,Southeastern Asia,47,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384
194,Namibia,62.62500000,2016,5.796621702,6.992669937,10.000000000,8.725925926,7.000000000,8.250000000,8.000000000,7.394915502,5.284715285,6.437481728,6.141285904,6.355514643,7.757162078,6.40,6.897457751,Sub-Saharan Africa,113,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198
195,Niger,61.13700000,2016,4.150643838,6.914378347,6.666666667,7.804074074,5.500000000,5.345238095,4.166666667,5.714520097,6.844368088,3.659423094,7.016807914,5.485204757,7.058349425,6.01,5.862260048,Sub-Saharan Africa,142,3.856,0.13270,0.60530,0.26162,0.38041,0.17176,0.20970,2.09469
196,Nigeria,53.54100000,2016,4.327010052,5.166301919,6.666666667,7.327777778,9.000000000,8.175114352,3.333333333,5.823617206,7.086182942,3.603779382,7.460879420,5.904233470,7.564835190,6.32,6.071808603,Sub-Saharan Africa,103,4.875,0.75216,0.64498,0.05108,0.27854,0.03050,0.23219,2.88586
197,Nicaragua,73.86000000,2016,3.767066422,8.295494493,8.333333333,7.912592593,4.000000000,7.047619048,6.875000000,6.432494726,7.990441176,4.450667177,9.100671988,7.817439250,7.002229453,7.27,6.851247363,Latin America and Caribbean,48,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428
198,Netherlands,81.56097561,2016,8.524550809,9.922564664,10.000000000,8.894444444,10.000000000,9.726190476,9.250000000,9.398842360,3.933138933,8.160260143,9.503556089,8.657087014,8.272654841,7.71,8.554421180,Western Europe,7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749
199,Norway,82.40731707,2016,8.556487979,9.931425970,10.000000000,7.407407407,10.000000000,9.797619048,10.000000000,9.342481133,4.495132520,8.678339280,9.499277343,7.587806425,7.733422163,7.60,8.471240566,Western Europe,4,7.498,1.57744,1.12690,0.79579,0.59609,0.35776,0.37895,2.66465
200,Nepal,69.84800000,2016,4.300731416,9.256317317,8.333333333,5.187777778,5.000000000,6.702380952,10.000000000,6.911611390,7.916691709,4.608534674,6.435562340,6.635041574,7.051395050,6.53,6.720805695,Southern Asia,107,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.38160,2.32694
201,New Zealand,81.61243902,2016,7.868546129,9.868614098,10.000000000,9.731481481,10.000000000,9.523809524,9.250000000,9.284819157,6.476854205,8.715280315,9.455371519,8.635970884,9.159782185,8.49,8.887409579,Australia and New Zealand,8,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553
202,Pakistan,66.77000000,2016,3.505069340,6.242516773,5.000000000,4.039259259,9.000000000,7.087699939,3.750000000,5.324592448,7.836437068,3.463300254,6.593266000,5.826842798,6.290954337,6.00,5.662296224,Southern Asia,92,5.132,0.68816,0.26135,0.40306,0.14622,0.13880,0.31185,3.18286
203,Panama,77.96400000,2016,4.385538748,8.710721255,10.000000000,8.361111111,8.500000000,8.300639622,9.250000000,7.715240074,7.363229284,5.241776593,9.696805181,8.696830031,6.902737679,7.58,7.647620037,Latin America and Caribbean,25,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.24180,3.00559
204,Peru,76.04400000,2016,4.715843781,8.245018486,10.000000000,8.225555556,9.000000000,8.205155728,9.375000000,7.720786695,6.979635640,4.765645671,9.704537846,8.226085566,7.488683492,7.43,7.575393347,Latin America and Caribbean,64,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117
205,Philippines,70.80200000,2016,3.436584998,6.842192772,8.333333333,8.490740741,8.000000000,8.204248444,6.250000000,6.497526694,8.498841962,4.278264950,9.422637738,7.127270701,7.369833084,7.34,6.918763347,Southeastern Asia,82,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484
206,Poland,77.85121951,2016,6.382863045,9.743629357,10.000000000,6.345925926,9.000000000,8.619047619,9.250000000,8.353120455,5.624382422,5.559009928,9.647930249,7.913406255,7.586252704,7.27,7.811560227,Central and Eastern Europe,57,5.835,1.24585,1.04685,0.69058,0.45190,0.05500,0.14443,2.20035
207,Portugal,81.12439024,2016,7.165608272,9.915208954,10.000000000,9.425555556,9.500000000,9.559523810,9.250000000,9.043712243,5.659946793,6.979123572,9.350852752,8.376487219,7.184642765,7.51,8.276856122,Western Europe,94,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015
